fecha,provincia,codigo_indec_provincia,departamento,codigo_indec_departamento,localidad,codigo_indec_localidad,origen_de_financiamiento,tipo,ultima_actualizacion,total,positivos
2020-02-11,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,2,
2020-02-20,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,1,
2020-02-20,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Privado,Privado,2020-06-20,1,
2020-02-27,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,4,
2020-02-28,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,10,
2020-03-02,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,5,
2020-03-03,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,8,1.0
2020-03-04,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,6,
2020-03-05,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,7,
2020-03-06,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,11,7.0
2020-03-07,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,9,1.0
2020-03-08,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,28,3.0
2020-03-09,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,13,7.0
2020-03-10,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,28,2.0
2020-03-10,Córdoba,14,Capital,14,CORDOBA,10,Público,Provincial,2020-06-20,1,
2020-03-11,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,34,5.0
2020-03-11,Santa Fe,82,Rosario,84,ROSARIO,270,Privado,Privado,2020-06-20,1,
2020-03-12,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,1,
2020-03-12,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,45,12.0
2020-03-13,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,86,7.0
2020-03-14,CABA,2,COMUNA 1,1,RETIRO,10,Privado,Privado,2020-06-20,1,
2020-03-14,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,1,
2020-03-14,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,47,7.0
2020-03-15,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,80,11.0
2020-03-16,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,2,
2020-03-16,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,103,12.0
2020-03-16,Buenos Aires,6,Morón,568,VILLA SARMIENTO,10,Público,Nacional,2020-06-20,1,
2020-03-17,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,4,1.0
2020-03-17,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,123,19.0
2020-03-17,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Privado,Privado,2020-06-20,1,
2020-03-18,CABA,2,COMUNA 1,1,RETIRO,10,Privado,Privado,2020-06-20,2,2.0
2020-03-18,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,1,
2020-03-18,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,199,35.0
2020-03-18,Santa Fe,82,Rosario,84,ROSARIO,270,Público,Municipal,2020-06-20,1,
2020-03-19,CABA,2,COMUNA 1,1,RETIRO,10,Privado,Privado,2020-06-20,1,
2020-03-19,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,4,2.0
2020-03-19,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,137,25.0
2020-03-19,Buenos Aires,6,Morón,568,VILLA SARMIENTO,10,Público,Nacional,2020-06-20,1,
2020-03-19,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Privado,Privado,2020-06-20,4,
2020-03-19,Neuquén,58,Confluencia,35,NEUQUEN,70,Público,Provincial,2020-06-20,1,1.0
2020-03-20,CABA,2,COMUNA 1,1,RETIRO,10,Privado,Privado,2020-06-20,3,
2020-03-20,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,7,1.0
2020-03-20,CABA,2,COMUNA 4,4,BARRACAS,10,Privado,Privado,2020-06-20,1,1.0
2020-03-20,CABA,2,COMUNA 4,4,PARQUE PATRICIOS,10,Público,Nacional,2020-06-20,207,29.0
2020-03-20,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Privado,Privado,2020-06-20,4,
2020-03-20,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Público,Municipal,2020-06-20,1,1.0
2020-03-20,Neuquén,58,Confluencia,35,NEUQUEN,70,Público,Provincial,2020-06-20,4,2.0
2020-03-20,Santa Fe,82,General López,42,VENADO TUERTO,290,Privado,Privado,2020-06-20,1,
2020-03-20,Santa Fe,82,Rosario,84,ROSARIO,270,Público,Municipal,2020-06-20,3,
2020-03-21,CABA,2,COMUNA 1,1,RETIRO,10,Privado,Privado,2020-06-20,1,
2020-03-21,CABA,2,COMUNA 2,2,RECOLETA,10,Privado,Privado,2020-06-20,3,
